cotacaoCompra,cotacaoVenda,dataHoraCotacao
"3,273","3,2736",2017-11-01 13:06:41.585
"3,2914","3,292",2017-11-03 13:04:54.329
"3,2845","3,2851",2017-11-06 13:08:39.786
"3,2727","3,2733",2017-11-07 13:08:59.981
"3,2503","3,2509",2017-11-08 13:08:59.653
"3,2509","3,2515",2017-11-09 13:11:59.216
"3,2655","3,2661",2017-11-10 13:11:04.472
"3,2867","3,2873",2017-11-13 13:03:15.661
"3,2828","3,2834",2017-11-14 13:11:59.21
"3,2802","3,2808",2017-11-16 13:10:20.167
"3,2782","3,2788",2017-11-17 13:08:26.316
"3,2608","3,2623",2017-11-20 13:10:09.274
"3,2585","3,2591",2017-11-21 13:08:00.441
"3,2555","3,2561",2017-11-22 13:06:53.031
"3,2365","3,2371",2017-11-23 13:02:53.754
"3,2294","3,23",2017-11-24 13:05:52.166
"3,2212","3,2218",2017-11-27 13:04:59.406
"3,2226","3,2232",2017-11-28 13:04:52.08
"3,213","3,2136",2017-11-29 13:10:29.895
"3,261","3,2616",2017-11-30 13:08:58.944
"3,263","3,2636",2017-12-01 13:05:49.223
"3,25","3,2506",2017-12-04 13:12:10.896
"3,2316","3,2322",2017-12-05 13:06:35.907
"3,2348","3,2354",2017-12-06 13:03:50.288
"3,2886","3,2892",2017-12-07 13:11:10.197
"3,2805","3,2811",2017-12-08 13:09:46.379
"3,2839","3,2845",2017-12-11 13:10:44.9
"3,3143","3,3149",2017-12-12 13:09:28.057
"3,303","3,3036",2017-12-13 13:08:38.426
"3,3326","3,3332",2017-12-14 13:04:47.054
"3,3176","3,3182",2017-12-15 13:10:18.082
"3,2875","3,2881",2017-12-18 13:03:09.523
"3,2877","3,2883",2017-12-19 13:08:27.894
"3,2903","3,2909",2017-12-20 13:11:21.95
"3,3039","3,3045",2017-12-21 13:08:38.591
"3,3203","3,3209",2017-12-22 13:06:49.404
"3,3194","3,32",2017-12-26 13:12:11.584
"3,3024","3,3031",2017-12-27 13:06:02.143
"3,3074","3,308",2017-12-28 13:04:53.036
"3,3074","3,308",2017-12-29 13:02:45.613
"3,2691","3,2697",2018-01-02 13:12:55.196
"3,2529","3,2535",2018-01-03 13:04:12.517
"3,2312","3,2318",2018-01-04 13:11:55.76
"3,2403","3,2409",2018-01-05 13:09:00.243
"3,2351","3,2357",2018-01-08 13:10:47.767
"3,2391","3,2397",2018-01-09 13:06:14.647
"3,2461","3,2467",2018-01-10 13:06:20.141
"3,2295","3,2301",2018-01-11 13:07:39.24
"3,2192","3,2197",2018-01-12 13:11:51.469
"3,1957","3,1963",2018-01-15 13:03:51.89
"3,2213","3,2219",2018-01-16 13:10:53.99
"3,2318","3,2324",2018-01-17 13:07:57.458
"3,2123","3,2129",2018-01-18 13:03:33.47
"3,2081","3,2087",2018-01-19 13:10:53.197
"3,1928","3,1934",2018-01-22 13:03:42.347
"3,2243","3,2249",2018-01-23 13:04:48.112
"3,1964","3,197",2018-01-24 13:10:27.352
"3,138","3,1391",2018-01-25 13:03:52.095
"3,1444","3,145",2018-01-26 13:08:49.461
